id_departement;libelle_de_commune;Latitude;Longitude
91;Guillerval;48,36830564;2,07601235
77;Varennes-sur-Seine;48,36853939;2,93052193
91;Marolles-en-Beauce;48,36922552;2,204236126
91;Bois-Herpin;48,37179214;2,243988635
77;Noisy-sur-École;48,37768899;2,508745424
91;Chalou-Moulineux;48,3803155;2,026167116
77;Veneux-les-Sablons;48,38117198;2,795351588
77;Montigny-le-Guesdier;48,38124104;3,249510332
91;Oncy-sur-École;48,381935;2,456868762
91;Boissy-la-Rivière;48,38241466;2,170050867
91;Congerville-Thionville;48,38276434;1,990879045
77;Marolles-sur-Seine;48,3838864;3,032021659
91;La Forêt-Sainte-Croix;48,38408022;2,230534671
77;La Tombe;48,38674832;3,093574308
77;Saint-Mammès;48,38678656;2,818997064
77;Gravon;48,38829805;3,124926036
77;Baby;48,38941522;3,344804316
77;Montereau-Fault-Yonne;48,38988309;2,961554797
77;La Grande-Paroisse;48,39175445;2,898317421
91;Valpuiseaux;48,39222796;2,303287573
91;Maisse;48,39589413;2,370094058
77;Mousseaux-lès-Bray;48,39593881;3,22954318
77;Balloy;48,39687576;3,151363244
77;Bazoches-lès-Bray;48,39837229;3,192618119
91;Puiselet-le-Marais;48,39932374;2,263444735
77;Villenauxe-la-Petite;48,40040127;3,313274706
91;Ormoy-la-Rivière;48,4004789;2,164300448
91;Milly-la-Forêt;48,40329482;2,464954035
77;Thomery;48,40420734;2,779972903
77;Villuis;48,40534247;3,359036448
77;Vernou-la-Celle-sur-Seine;48,40623742;2,853821357
77;Fontainebleau;48,40668565;2,680313964
77;Saint-Germain-Laval;48,40896528;2,994817224
77;Champagne-sur-Seine;48,40935683;2,807933927
77;Arbonne-la-Forêt;48,41033839;2,561097527
77;Fontaine-Fourches;48,41203045;3,394312584
77;Courcelles-en-Bassée;48,41256065;3,052940506
77;Avon;48,41296991;2,73351874
77;Jaulnes;48,41447658;3,276347356
77;Bray-sur-Seine;48,41459728;3,243899654
91;Mérobert;48,41578017;1,99629786
91;Chalo-Saint-Mars;48,41673249;2,051588217
91;Courdimanche-sur-Essonne;48,41803142;2,363440676
77;Châtenay-sur-Seine;48,41994052;3,094530285
77;Samoreau;48,42001044;2,769787341
91;Étampes;48,42112823;2,138388817
77;Forges;48,42190598;2,948773946
91;Saint-Escobille;48,42241537;1,957964216
77;Passy-sur-Seine;48,42868061;3,345846146
91;Vayres-sur-Essonne;48,43152194;2,345691315
77;Vulaines-sur-Seine;48,43163602;2,76934764
77;Salins;48,43166392;3,019417721
77;Mouy-sur-Seine;48,43214775;3,246043896
91;Bouville;48,43264834;2,278385642
77;Saint-Martin-en-Bière;48,43424036;2,574834583
91;Boutigny-sur-Essonne;48,43618184;2,395422376
91;Moigny-sur-École;48,43712909;2,43964125
77;Saint-Sauveur-lès-Bray;48,43798895;3,204632812
91;Courances;48,43854783;2,484800492
77;Grisy-sur-Seine;48,43924634;3,317544992
77;Égligny;48,43970622;3,124180514
91;Morigny-Champigny;48,44094754;2,207487977
91;Saint-Hilaire;48,44161956;2,087070926
77;Héricy;48,44183364;2,789424882
77;Vimpelles;48,44306475;3,166543102
91;Plessis-Saint-Benoist;48,44519941;2,003049952
77;Fleury-en-Bière;48,44520914;2,540536948
77;Machault;48,44599697;2,841122959
77;Valence-en-Brie;48,44622522;2,893071395
77;Barbizon;48,44851664;2,600513356
91;Orveau;48,44917589;2,296667446
77;Noyen-sur-Seine;48,4518691;3,342266235
91;Authon-la-Plaine;48,45341376;1,956771833
77;Montigny-Lencoup;48,45434821;3,05281641
77;Samois-sur-Seine;48,45505157;2,752911553
77;Laval-en-Brie;48,45527507;2,975579886
91;Boutervilliers;48,45558302;2,051146824
91;D'Huison-Longueville;48,45571912;2,327540552
77;Villiers-sur-Seine;48,45637435;3,383017198
