ville;mediane_niveau_de_vie_2019;part_menages_fiscaux_imposés_2019
Renansart;17040;
Renneval;14890;
Résigny;16470;
Ressons-le-Long;21600;
Retheuil;20890;
Reuilly-Sauvigny;19940;
Ribeauville;;
Ribemont;18220;
Rocourt-Saint-Martin;21930;
Rocquigny;19220;
Rogécourt;20350;
Rogny;18480;
Romeny-sur-Marne;21890;
Romery;;
Ronchères;19750;
Roucy;23870;
Rougeries;17660;
Roupy;20440;
Rouvroy;25780;
Rouvroy-sur-Serre;;
Royaucourt-et-Chailvet;21870;
Rozet-Saint-Albin;20900;
Rozières-sur-Crise;19360;
Rozoy-Bellevalle;22550;
Grand-Rozoy;20600;
Rozoy-sur-Serre;15900;
Saconin-et-Breuil;21830;
Sains-Richaumont;17240;
Saint-Algis;17810;
Saint-Aubin;18370;
Saint-Bandry;20850;
Saint-Christophe-à-Berry;20960;
Saint-Clément;;
Sainte-Croix;20150;
Saint-Erme-Outre-et-Ramecourt;19860;
Saint-Eugène;18910;
Sainte-Geneviève;;
Saint-Gengoulph;20750;
Saint-Gobain;19730;
Saint-Gobert;19040;
Saint-Mard;;
Saint-Martin-Rivière;16400;
Saint-Michel;16590;34
Saint-Nicolas-aux-Bois;22670;
Saint-Paul-aux-Bois;20870;
Saint-Pierre-Aigle;23220;
Saint-Pierre-lès-Franqueville;;
Saint-Pierremont;;
Sainte-Preuve;;
Saint-Quentin;16970;39
Saint-Rémy-Blanzy;20570;
Saint-Simon;20290;
Saint-Thibaut;;
Saint-Thomas;;
Samoussy;22220;
Sancy-les-Cheminots;21570;
Saponay;20430;
Saulchery;21410;
Savy;23350;
Seboncourt;18470;
Selens;18940;
La Selve;18560;
Septmonts;21490;
Septvaux;20920;
Sequehart;23290;
Serain;17750;
Seraucourt-le-Grand;20350;
Serches;21090;
Sergy;20230;
Seringes-et-Nesles;19450;
Sermoise;19640;
Serval;;
Servais;21550;
Séry-lès-Mézières;19410;
Silly-la-Poterie;24910;
Sinceny;20240;51
Sissonne;17090;
Sissy;22730;
Soissons;16980;39
Soize;15680;
Sommelans;;
Sommeron;17570;
Sommette-Eaucourt;20800;
Sons-et-Ronchères;17700;
Sorbais;17720;
Soucy;;
Soupir;17770;
Le Sourd;19550;
Surfontaine;;
Taillefontaine;20550;
Tannières;;
Tartiers;18970;
Tavaux-et-Pontséricourt;18990;
Tergnier;17260;37
Terny-Sorny;22690;
Thenailles;20540;
Thenelles;16540;
Thiernu;16370;
Le Thuel;20140;
Torcy-en-Valois;;
Toulis-et-Attencourt;20080;
Travecy;19750;
Trefcon;;
Trélou-sur-Marne;22320;
Troësnes;21930;
Trosly-Loire;18460;
Trucy;20710;
Tugny-et-Pont;17620;
Tupigny;16430;
Ugny-le-Gay;21830;
Urcel;20640;
Urvillers;22260;
Vadencourt;16870;
Vailly-sur-Aisne;19200;
La Vallée-au-Blé;15340;
La Vallée-Mulâtre;16540;
Variscourt;22690;
Vassens;19870;
Vasseny;20000;
Vassogne;;
Vaucelles-et-Beffecourt;22820;
Vaudesson;19810;
Vauxrezis;23440;
