;;;;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE;PROXIMITE;ELECTRONIQUE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;GRANDE_SURFACE;PROXIMITE;PROXIMITE;PROXIMITE;PROXIMITE;AUTRE
id_departement;libelle_de_commune;annee;population;hypermarche;supermarche;grande_surface_de_bricolage;superette;epicerie;boulangerie;boucherie_charcuterie;produits_surgeles;poissonnerie;librairie_papeterie_journaux;magasin_de_vetements;magasin_d_equipements_du_foyer;magasin_de_chaussures;magasin_d_electromenager_et_de_mat_audio_video;magasin_de_meubles;magasin_d_articles_de_sports_et_de_loisirs;magasin_de_revetements_murs_et_sols;droguerie_quincaillerie_bricolage;parfumerie;horlogerie_bijouterie;fleuriste;magasin_d_optique;station_service
77;Chambry;1995;906;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chamigny;1995;1264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
77;Champagne-sur-Seine;1995;6485;0;2;0;0;1;4;2;0;1;0;2;0;0;1;0;1;0;0;0;1;1;1;1
77;Champcenest;1995;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Champdeuil;1995;638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Champeaux;1995;768;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Champs-sur-Marne;1995;24418;1;2;0;2;2;7;1;0;2;6;4;2;2;1;0;0;0;0;3;1;1;3;1
77;Changis-sur-Marne;1995;1062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
77;Chanteloup-en-Brie;1995;2121;0;1;0;0;2;1;0;0;0;0;7;3;2;0;3;2;0;1;0;0;0;1;0
77;Charmentray;1995;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Charny;1995;1220;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Chartrettes;1995;2556;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;1
